Console,GameName,Review,Score
PC,Baldur's Gate 3 Early Access Review,Early Access,6
NS,Control: Ultimate Edition Cloud Version Review,Good,7
XONE, PC, PS4,Doom Eternal: The Ancient Gods Part 1 Review,Good,7
XONE, PC, PS4,Watch Dogs: Legion Review,Great,8
PC,Ring Of Pain Review,Great,8
NS,Pikmin 3 Deluxe Review,Great,8
PC, XONE, PS4,Ghostrunner Review,Good,7
PC, NS,Disc Room Review â€“ Getting Buzzed,Great,8
XONE, PS4,NHL 21 Review,Superb,9
